flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
51,51,381,8,63,3,55,33554432,1908500,1.9085,35,True,18.119251,16.210751,16.55910056233669,59936,2.5649848076346986,False,128320,23365,360486,255531,104955,0,0,771,104184,1678,907,43919,0,1,5,409992,3,3.1950748129675812,0.8179161471321695,0.18208385286783044,2810816
52,52,490,8,81,4,73,33554432,2399000,2.399,44,True,17.010813,14.611813,18.371125882872988,53498,2.2894680532374716,False,115645,23350,324283,231988,92295,0,0,1078,91217,3374,2296,39590,0,1,5,352942,3,3.051943447619871,0.7980889792035972,0.20191102079640277,2533760
53,53,599,8,99,5,91,33554432,2889500,2.8895,53,True,15.403331,12.513831,21.45110126547178,55068,2.3566568237257672,False,99056,23351,285244,209539,75705,53,0,791,74861,2186,1395,32139,0,1,5,297757,2,3.005946131481182,0.7642646583750605,0.23573534162493942,2056896
54,54,60,9,10,0,1,33554432,491500,0.4915,9,True,12.51844,12.02694,22.31951402434867,54289,2.323319210852912,False,95196,23357,272264,200425,71839,0,0,640,71199,1393,753,27646,0,1,5,286590,2,3.0105256523383335,0.7546430522290852,0.24535694777091474,1769344
55,55,169,9,28,1,19,33554432,982000,0.982,18,True,17.030079,16.048079,16.72695255301273,56904,2.435229169341379,False,127032,23358,362916,259242,103674,9,0,741,102924,1894,1153,51981,0,1,5,395762,3,3.115451224888217,0.8161250708482902,0.1838749291517098,3326784
56,56,278,9,46,2,37,33554432,1472500,1.4725,27,True,14.908267,13.435767,19.979168736701077,60161,2.5746137715581803,False,106346,23373,306889,223916,82973,0,0,1381,81592,3333,1952,34062,0,1,5,320300,3,3.01186692494311,0.7802174035694808,0.21978259643051926,2179968
57,57,387,9,64,3,55,33554432,1963000,1.963,36,True,16.652601,14.689601,18.27384256386542,58681,2.5112765866392777,False,116280,23356,327038,234114,92924,1,0,943,91980,2638,1695,35833,0,1,5,364820,3,3.1374269005847952,0.7991400068799449,0.20085999312005504,2293312
58,58,496,9,82,4,73,33554432,2453500,2.4535,45,True,18.631208,16.177708,16.592922557385755,58832,2.5177386913168145,False,128075,23331,377547,272803,104744,0,0,802,103942,2088,1286,62590,0,1,5,401462,4,3.134585203982042,0.8178333008003124,0.18216669919968767,4005760
59,59,605,9,100,5,91,33554432,2944000,2.944,54,True,15.696753999999999,12.752754,21.04921462454306,52586,2.2504386528009586,False,100941,23344,287164,209567,77597,0,0,897,76700,2727,1830,32783,0,1,5,304125,2,3.0128986239486433,0.7687361924292408,0.23126380757075915,2098112
60,60,66,10,11,0,1,33554432,546000,0.546,10,True,14.976666,14.430666,18.60173716168055,56253,2.4073693670561047,False,114213,23356,329912,239055,90857,0,0,821,90036,2258,1437,45310,0,1,5,359007,3,3.1433111817393815,0.7955048899862538,0.20449511001374623,2899840
